order_purchase_timestamp,daily_revenue,num_orders,day_of_week,month,day
2016-09-04,72.89,1,6,9,4
2016-09-05,59.5,1,0,9,5
2016-09-15,134.97,1,3,9,15
2016-10-02,100.0,1,6,10,2
2016-10-03,463.48,8,0,10,3
2016-10-04,9940.960000000001,60,1,10,4
2016-10-05,8343.25,42,2,10,5
2016-10-06,7960.51,49,3,10,6
2016-10-07,7228.05,45,4,10,7
2016-10-08,8441.85,40,5,10,8
2016-10-09,3336.99,26,6,10,9
2016-10-10,3692.57,37,0,10,10
2016-12-23,10.9,1,4,12,23
2017-01-05,396.90000000000003,32,3,1,5
2017-01-06,916.38,4,4,1,6
2017-01-07,1351.9,4,5,1,7
2017-01-08,709.58,6,6,1,8
2017-01-09,673.79,5,0,1,9
2017-01-10,1434.87,6,1,1,10
2017-01-11,2776.16,12,2,1,11
2017-01-12,2234.58,13,3,1,12
2017-01-13,2505.58,11,4,1,13
2017-01-14,1112.69,18,5,1,14
2017-01-15,2199.57,14,6,1,15
2017-01-16,3307.92,19,0,1,16
2017-01-17,3302.5299999999997,32,1,1,17
2017-01-18,4032.36,33,2,1,18
2017-01-19,3553.9500000000003,29,3,1,19
2017-01-20,4035.83,28,4,1,20
2017-01-21,2458.6,24,5,1,21
2017-01-22,3619.27,30,6,1,22
2017-01-23,6581.47,39,0,1,23
2017-01-24,5955.17,40,1,1,24
2017-01-25,8977.23,62,2,1,25
2017-01-26,13157.66,85,3,1,26
2017-01-27,11432.95,61,4,1,27
2017-01-28,5211.01,29,5,1,28
2017-01-29,6457.66,35,6,1,29
2017-01-30,10801.13,51,0,1,30
2017-01-31,11116.130000000001,67,1,1,31
2017-02-01,8219.75,67,2,2,1
2017-02-02,8917.64,68,3,2,2
2017-02-03,10183.74,57,4,2,3
2017-02-04,13968.16,66,5,2,4
2017-02-05,8503.79,75,6,2,5
2017-02-06,9539.44,81,0,2,6
2017-02-07,14143.48,111,1,2,7
2017-02-08,11958.27,90,2,2,8
2017-02-09,9190.29,77,3,2,9
2017-02-10,14222.64,66,4,2,10
2017-02-11,4307.56,45,5,2,11
2017-02-12,15126.15,63,6,2,12
2017-02-13,10785.15,76,0,2,13
2017-02-14,12694.11,71,1,2,14
2017-02-15,6770.15,60,2,2,15
2017-02-16,6348.04,52,3,2,16
2017-02-17,6801.26,45,4,2,17
2017-02-18,7297.33,52,5,2,18
2017-02-19,3797.9,40,6,2,19
2017-02-20,7878.3,63,0,2,20
2017-02-21,8285.64,41,1,2,21
2017-02-22,8033.05,61,2,2,22
2017-02-23,6940.82,59,3,2,23
2017-02-24,6682.21,62,4,2,24
2017-02-25,4196.59,42,5,2,25
2017-02-26,5446.68,45,6,2,26
2017-02-27,5844.12,43,0,2,27
2017-02-28,11220.76,55,1,2,28
2017-03-01,12555.41,95,2,3,1
2017-03-02,11377.0,68,3,3,2
2017-03-03,12364.44,72,4,3,3
2017-03-04,12658.51,77,5,3,4
2017-03-05,6954.62,72,6,3,5
2017-03-06,10336.64,99,0,3,6
2017-03-07,11883.52,81,1,3,7
2017-03-08,14612.46,78,2,3,8
2017-03-09,11705.539999999999,92,3,3,9
2017-03-10,12358.87,88,4,3,10
2017-03-11,10852.97,71,5,3,11
2017-03-12,6612.16,64,6,3,12
2017-03-13,16958.05,111,0,3,13
2017-03-14,14243.66,99,1,3,14
2017-03-15,14999.33,107,2,3,15
2017-03-16,14269.78,103,3,3,16
2017-03-17,11970.4,65,4,3,17
2017-03-18,16433.82,73,5,3,18
2017-03-19,6649.34,56,6,3,19
2017-03-20,17096.489999999998,116,0,3,20
2017-03-21,11349.130000000001,93,1,3,21
2017-03-22,14188.97,105,2,3,22
2017-03-23,16375.55,111,3,3,23
2017-03-24,10177.87,77,4,3,24
2017-03-25,9423.04,75,5,3,25
2017-03-26,6320.95,64,6,3,26
2017-03-27,16356.97,109,0,3,27
2017-03-28,12373.11,102,1,3,28
2017-03-29,8660.54,74,2,3,29
2017-03-30,10025.6,74,3,3,30
2017-03-31,12199.56,70,4,3,31
2017-04-01,17697.37,67,5,4,1
2017-04-02,9129.88,65,6,4,2
2017-04-03,9156.76,72,0,4,3
2017-04-04,12301.65,96,1,4,4
2017-04-05,18902.94,96,2,4,5
2017-04-06,23168.89,95,3,4,6
2017-04-07,13300.65,85,4,4,7
2017-04-08,8785.09,66,5,4,8
2017-04-09,8222.65,73,6,4,9
2017-04-10,11732.31,87,0,4,10
2017-04-11,8296.51,77,1,4,11
2017-04-12,8209.2,63,2,4,12
2017-04-13,9691.43,60,3,4,13
2017-04-14,8168.66,53,4,4,14
2017-04-15,8333.94,52,5,4,15
2017-04-16,5455.96,49,6,4,16
2017-04-17,9416.67,65,0,4,17
2017-04-18,21286.72,71,1,4,18
2017-04-19,12103.46,97,2,4,19
2017-04-20,13373.14,96,3,4,20
2017-04-21,8457.71,68,4,4,21
2017-04-22,12860.18,83,5,4,22
2017-04-23,10038.95,86,6,4,23
2017-04-24,15150.03,115,0,4,24
2017-04-25,14671.74,111,1,4,25
2017-04-26,15919.75,125,2,4,26
2017-04-27,10300.710000000001,79,3,4,27
2017-04-28,15790.49,98,4,4,28
2017-04-29,11912.63,73,5,4,29
2017-04-30,8091.16,68,6,4,30
2017-05-01,12580.27,116,0,5,1
2017-05-02,17640.2,125,1,5,2
2017-05-03,10053.56,102,2,5,3
2017-05-04,13508.55,108,3,5,4
2017-05-05,13969.76,110,4,5,5
2017-05-06,16219.98,107,5,5,6
2017-05-07,17167.87,109,6,5,7
2017-05-08,16148.41,122,0,5,8
2017-05-09,20837.05,125,1,5,9
2017-05-10,20927.49,115,2,5,10
2017-05-11,18164.55,126,3,5,11
2017-05-12,12635.710000000001,113,4,5,12
2017-05-13,9118.65,73,5,5,13
2017-05-14,15219.7,112,6,5,14
2017-05-15,17962.03,154,0,5,15
2017-05-16,21174.88,151,1,5,16
2017-05-17,18343.93,141,2,5,17
2017-05-18,18245.13,125,3,5,18
2017-05-19,18397.670000000002,144,4,5,19
2017-05-20,10632.41,72,5,5,20
2017-05-21,17426.2,148,6,5,21
2017-05-22,25414.2,148,0,5,22
2017-05-23,17798.38,125,1,5,23
2017-05-24,23350.97,141,2,5,24
2017-05-25,15383.79,105,3,5,25
2017-05-26,10651.18,78,4,5,26
2017-05-27,14139.51,81,5,5,27
2017-05-28,9262.62,98,6,5,28
2017-05-29,18912.86,158,0,5,29
2017-05-30,14345.48,102,1,5,30
2017-05-31,20438.15,126,2,5,31
2017-06-01,19305.25,124,3,6,1
2017-06-02,19131.33,126,4,6,2
2017-06-03,10450.35,89,5,6,3
2017-06-04,13863.23,101,6,6,4
